Time,PacketSize,Protocol,Sender,Receiver
1.10807,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.10915,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.11076,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.11183,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.11301,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.11411,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.11552,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.11672,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.11834,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.12,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.12169,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.1231,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.12483,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.12596,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.12712,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.1285,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.12972,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.13092,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.13211,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.13353,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.13466,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.13583,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.13711,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.13882,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.13997,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.14112,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.14255,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.14451,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.14556,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.14677,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.14791,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.14947,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.15059,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.1519,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.15299,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.1549,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.15599,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.1574,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.15868,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.15977,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.16094,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.1621,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.1632,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.16437,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.16561,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.16736,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.16849,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.16997,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.17134,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.17284,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.17429,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.1756,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.17676,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.17811,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.17926,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.18051,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.18192,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.18301,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.18406,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.18546,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.18677,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.18816,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.18954,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.19072,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.19192,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.19379,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.19558,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.19738,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.19843,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.19969,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.20076,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.2021,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.20365,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.20485,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.20602,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.2079,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.20927,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.21071,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.21217,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.21333,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.2146,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.21639,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.2176,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.21882,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.22065,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.22199,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.22359,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.22493,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.22608,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.22731,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.22887,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.23001,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.23148,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.23296,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.23444,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.23561,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.23666,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.23853,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.24022,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.2413,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.24303,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.24435,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.24546,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.24684,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.24802,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.24961,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.25091,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.25228,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.25353,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.25502,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.2566,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.25795,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.25945,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.26068,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.26181,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.26315,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.26469,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.26669,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
